"","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"X805ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X809ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X811ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X812ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X813ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X814ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X815ND",1,1,1,1,1,1,1,1,2,2,2,2,2,2
"X820ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X821ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X826ND",1,1,1,1,2,2,2,6,7,7,8,8,8,9
"X829ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X830ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X831ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X832ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X841ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X842ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X850ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X852ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X854ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X855ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X857ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X859ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X860ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X861ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X862ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X868ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X869ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X873ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X874ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X875ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X878ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X880ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X881ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X882ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X884ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X885ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X886ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X887ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"X898ND",1,1,1,1,1,1,1,1,1,1,1,1,1,1
